timestamp,src_ip,src_port,dst_ip,dst_port,protocol,transport,connection_type
2025-01-09 21:33:14.918156,138.219.201.243,59682,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:15.514540,138.219.201.243,59694,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:16.148094,138.219.201.243,23723,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:16.728691,138.219.201.243,23745,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:17.318816,138.219.201.243,59712,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:17.912008,138.219.201.243,59714,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:18.506317,138.219.201.243,23795,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:19.102243,138.219.201.243,23811,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:19.699088,138.219.201.243,59736,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:20.307646,138.219.201.243,23849,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:20.914989,138.219.201.243,59744,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:21.520799,138.219.201.243,23874,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:22.120099,138.219.201.243,23890,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:25.446985,138.219.201.243,23933,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:30.866329,138.219.201.243,24030,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:31.455409,138.219.201.243,24082,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:32.046213,138.219.201.243,24103,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:32.627357,138.219.201.243,24112,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:33.199917,138.219.201.243,24132,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:33.788231,138.219.201.243,24150,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:34.381629,138.219.201.243,24165,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:34.964865,138.219.201.243,24177,192.168.128.2,445,smbd,tcp,accept
